Gender,Age,Marital Status,Job Level,Years of Experience,Department,Employee Type,Work-Life Balance,Work Environment,Physical Activity Hours,Workload,Stress Level,Sleep Hours,Commute Mode,Commute Distance (km),Number of Companies Worked,Team Size,Direct Reports,Education Level,Overtime Status,Training Hours Per Year,Job Satisfaction,Low Sleep Flag,Long Commute Flag,Burnout Flag,Sleep Category,Burnout Score
Female,22,Single,Intern/Fresher,0,Customer Service,Full-Time,3,2,4.1,4,3,7.1,Public Transport,18,0,23,0,Bachelor,No,10.0,1,0,0,0,Healthy,0.9000000000000001
Female,40,Married,Senior,17,Hr,Part-Time,2,3,3.1,5,4,7.2,Bike,5,6,24,7,Bachelor,No,48.5,1,0,0,0,Healthy,0.7699999999999999
Male,35,Married,Senior,13,It,Full-Time,1,4,3.0,5,1,6.4,Public Transport,21,4,19,6,Bachelor,Yes,46.5,1,0,1,0,Moderate,1.5699999999999998
Female,38,Married,Mid,16,It,Full-Time,5,2,3.2,5,4,6.8,Walk,1,5,12,0,Bachelor,Yes,38.0,1,0,0,0,Moderate,0.81
Male,42,Married,Mid,20,Finance,Full-Time,5,2,1.2,5,3,7.2,Public Transport,26,6,12,0,Bachelor,Yes,40.0,1,0,1,0,Healthy,1.4
Male,41,Married,Mid,10,Operations,Full-Time,3,3,0.6,5,3,5.5,Bike,2,6,13,0,Bachelor,No,35.0,1,0,0,0,Moderate,1.36
Other,36,Single,Mid,10,Operations,Contract,1,3,3.3,1,4,6.2,Public Transport,20,4,10,0,Bachelor,No,35.0,1,0,1,0,Moderate,0.4199999999999999
Male,37,Single,Mid,15,It,Full-Time,1,2,1.5,2,1,7.0,Public Transport,20,5,15,0,Bachelor,Yes,37.5,1,0,1,0,Moderate,0.3999999999999999
Female,36,Single,Mid,14,Finance,Full-Time,1,3,2.3,1,4,6.6,Car,17,4,12,0,Bachelor,No,37.0,1,0,0,0,Moderate,0.1700000000000001
Female,36,Married,Mid,14,Sales,Part-Time,1,4,2.5,4,3,6.3,Walk,2,4,13,0,Bachelor,Yes,37.0,1,0,0,0,Moderate,0.74
Male,22,Single,Intern/Fresher,0,It,Part-Time,5,3,1.0,5,3,7.8,Walk,2,0,22,0,Bachelor,Yes,10.0,1,0,0,0,Healthy,0.4400000000000001
Male,32,Married,Mid,10,Finance,Part-Time,1,1,2.1,2,4,7.0,Car,9,3,11,0,Bachelor,Yes,35.0,1,0,0,0,Moderate,0.06999999999999995
Male,37,Single,Mid,15,It,Full-Time,4,5,2.4,3,5,5.7,Walk,2,5,10,0,Bachelor,Yes,37.5,1,0,0,0,Moderate,0.6799999999999999
Female,25,Single,Junior,3,Sales,Full-Time,4,3,0.5,5,2,5.0,Motorbike,17,1,9,0,Bachelor,No,21.5,1,0,0,0,Low,2.01
Male,59,Married,Senior,13,Marketing,Full-Time,1,2,2.5,5,2,6.7,Public Transport,22,12,25,9,Bachelor,No,46.5,1,0,1,0,Moderate,1.48
Male,36,Married,Senior,14,It,Full-Time,3,1,3.4,4,3,7.2,Bike,9,4,16,9,Bachelor,No,47.0,1,0,0,0,Healthy,0.5899999999999999
Male,26,Single,Junior,4,It,Full-Time,2,1,3.2,4,3,6.6,Bike,4,1,10,0,Bachelor,Yes,22.0,1,0,0,0,Moderate,0.68
Female,27,Single,Junior,5,Sales,Full-Time,5,2,3.4,5,5,5.4,Bike,3,1,8,0,Bachelor,No,22.5,1,0,0,0,Moderate,1.43
Male,24,Single,Junior,2,It,Full-Time,3,1,1.9,4,2,5.8,Bike,10,0,9,0,Bachelor,Yes,21.0,1,0,0,0,Moderate,1.18
Other,24,Single,Senior,2,Operations,Part-Time,4,2,0.9,5,3,5.9,Walk,2,0,18,4,Bachelor,No,41.0,1,0,0,0,Moderate,1.2
Male,37,Married,Senior,5,It,Part-Time,2,2,3.0,5,1,6.3,Car,22,5,17,3,Bachelor,Yes,42.5,1,0,1,0,Moderate,1.6400000000000001
Male,25,Single,Junior,3,Finance,Part-Time,1,1,4.1,5,4,6.7,Car,23,1,8,0,Bachelor,No,21.5,1,0,1,0,Moderate,1.5099999999999998
Female,25,Married,Mid,3,Sales,Full-Time,1,1,1.4,4,1,8.1,Car,26,1,15,0,Bachelor,No,31.5,1,0,1,0,Healthy,0.74
Female,23,Single,Intern/Fresher,1,Customer Service,Part-Time,1,4,2.9,4,3,7.0,Car,10,0,30,0,Bachelor,No,10.5,1,0,0,0,Moderate,0.7
Female,39,Married,Mid,15,Finance,Contract,3,2,2.5,4,3,6.9,Bike,3,5,14,0,Bachelor,Yes,37.5,1,0,0,0,Moderate,0.5299999999999997
Male,52,Divorced,Senior,20,It,Full-Time,2,2,2.8,5,2,6.0,Car,7,10,15,7,Bachelor,Yes,50.0,1,0,0,0,Moderate,1.31
Male,34,Married,Senior,10,Customer Service,Part-Time,2,1,1.0,5,2,8.1,Public Transport,29,4,15,3,Bachelor,No,45.0,1,0,1,0,Healthy,1.13
Female,23,Single,Intern/Fresher,1,Finance,Full-Time,4,1,1.2,4,2,5.7,Motorbike,10,0,27,0,Bachelor,No,10.5,1,0,0,0,Moderate,1.22
Female,48,Married,Senior,11,Marketing,Full-Time,3,2,2.8,5,5,7.7,Car,24,8,25,7,Bachelor,No,45.5,1,0,1,0,Healthy,1.14
Male,42,Married,Mid,14,Finance,Full-Time,4,1,3.2,4,1,5.3,Public Transport,17,6,15,0,Bachelor,No,37.0,1,0,0,0,Moderate,1.59
Male,28,Single,Mid,4,Marketing,Full-Time,3,1,2.2,4,1,7.2,Car,12,2,10,0,Bachelor,Yes,32.0,1,0,0,0,Healthy,0.6799999999999998
Male,27,Single,Junior,5,Operations,Part-Time,2,5,1.4,5,4,7.0,Bike,3,1,5,0,Bachelor,No,22.5,1,0,0,0,Moderate,0.7899999999999999
Female,33,Married,Mid,11,Finance,Part-Time,1,4,0.0,4,2,6.2,Car,26,3,12,0,Bachelor,No,35.5,1,0,1,0,Moderate,1.5
Female,28,Single,Junior,6,Finance,Contract,1,1,3.1,4,1,6.2,Public Transport,16,2,10,0,Bachelor,No,23.0,1,0,0,0,Moderate,1.1999999999999997
Female,24,Single,Mid,2,Marketing,Full-Time,2,2,0.2,5,1,6.7,Car,24,0,14,0,Bachelor,No,31.0,1,0,1,0,Moderate,1.5399999999999998
Male,23,Single,Intern/Fresher,1,Operations,Contract,5,2,1.4,4,3,5.2,Public Transport,20,0,21,0,Bachelor,No,10.5,1,0,1,0,Moderate,1.7199999999999998
Male,22,Single,Junior,0,Finance,Full-Time,1,2,1.6,5,4,7.5,Car,29,0,7,0,Bachelor,No,20.0,1,0,1,0,Healthy,1.37
Male,23,Single,Junior,1,Finance,Full-Time,1,2,2.2,5,1,5.7,Public Transport,12,0,5,0,Bachelor,No,20.5,1,0,0,0,Moderate,1.58
Male,28,Single,Junior,6,It,Full-Time,3,3,2.7,5,2,6.6,Public Transport,11,2,6,0,Bachelor,Yes,23.0,1,0,0,0,Moderate,1.1900000000000002
Female,24,Single,Mid,2,It,Full-Time,3,1,3.5,1,3,6.7,Car,22,0,15,0,Bachelor,Yes,31.0,1,0,1,0,Moderate,0.27999999999999986
Male,31,Married,Senior,9,Marketing,Part-Time,1,2,1.4,4,4,7.9,Car,27,3,19,6,Bachelor,No,44.5,1,0,1,0,Healthy,0.8499999999999999
Male,34,Married,Senior,12,Marketing,Full-Time,3,1,3.2,4,1,6.5,Public Transport,26,4,20,9,Bachelor,No,46.0,1,0,1,0,Moderate,1.38
Male,30,Married,Mid,8,Operations,Full-Time,1,1,0.9,1,3,6.2,Motorbike,24,2,10,0,Bachelor,Yes,34.0,1,0,1,0,Moderate,0.5399999999999998
Male,25,Single,Junior,3,It,Full-Time,5,2,1.8,5,1,6.2,Public Transport,6,1,8,0,Bachelor,Yes,21.5,1,0,0,0,Moderate,1.2
Female,28,Married,Junior,6,Finance,Full-Time,1,3,1.1,3,1,6.7,Motorbike,22,2,7,0,Bachelor,Yes,23.0,1,0,1,0,Moderate,0.8799999999999998
Female,39,Married,Senior,10,Sales,Part-Time,2,2,3.7,5,1,7.7,Car,10,5,21,1,Bachelor,No,45.0,1,0,0,0,Healthy,0.72
Male,23,Single,Junior,1,Operations,Full-Time,2,1,1.6,5,1,7.3,Public Transport,26,0,9,0,Bachelor,No,20.5,1,0,1,0,Healthy,1.36
Male,22,Single,Intern/Fresher,0,Hr,Full-Time,1,3,2.1,2,5,8.2,Car,5,0,24,0,Bachelor,No,10.0,1,0,0,0,Healthy,-0.5299999999999998
Male,48,Married,Mid,24,Operations,Full-Time,1,1,1.9,4,3,6.5,Walk,2,8,11,0,Bachelor,Yes,42.0,1,0,0,0,Moderate,0.6599999999999999
Female,35,Married,Mid,13,Marketing,Full-Time,4,1,3.7,4,3,5.6,Walk,1,4,14,0,Bachelor,No,36.5,1,0,0,0,Moderate,0.9900000000000001
Male,32,Single,Senior,10,Sales,Full-Time,1,4,2.9,4,3,6.5,Bike,1,3,15,3,Bachelor,No,45.0,1,0,0,0,Moderate,0.6299999999999999
Male,30,Divorced,Senior,8,It,Part-Time,2,1,1.2,5,1,9.6,Car,10,2,19,6,Bachelor,Yes,44.0,1,0,0,0,Healthy,-0.03999999999999987
Male,23,Single,Intern/Fresher,1,It,Contract,4,4,2.9,3,5,7.7,Public Transport,12,0,21,0,Bachelor,Yes,10.5,1,0,0,0,Healthy,0.17999999999999983
Male,31,Single,Senior,3,Operations,Full-Time,2,2,1.3,4,1,6.6,Car,28,3,24,9,Bachelor,No,41.5,1,0,1,0,Moderate,1.4
Male,31,Single,Mid,9,Legal,Full-Time,4,2,2.8,4,1,6.9,Bike,10,3,14,0,Bachelor,Yes,34.5,1,0,0,0,Moderate,0.7399999999999998
Male,28,Single,Junior,3,It,Full-Time,2,2,3.1,2,2,7.3,Public Transport,17,2,9,0,Bachelor,Yes,21.5,1,0,0,0,Healthy,0.19000000000000006
Male,33,Married,Mid,6,Operations,Full-Time,1,1,2.5,3,3,6.7,Car,15,3,11,0,Bachelor,No,33.0,1,0,0,0,Moderate,0.6699999999999997
Female,31,Married,Mid,9,Hr,Full-Time,1,3,1.3,2,1,5.8,Public Transport,12,3,10,0,Bachelor,Yes,34.5,1,0,0,0,Moderate,0.64
Male,22,Single,Intern/Fresher,0,Finance,Full-Time,2,2,1.3,3,1,6.5,Car,18,0,22,0,Bachelor,Yes,10.0,1,0,0,0,Moderate,0.8399999999999999
Female,36,Single,Senior,14,Marketing,Full-Time,2,1,2.4,5,4,8.1,Public Transport,19,4,20,4,Bachelor,No,47.0,1,0,0,0,Healthy,0.83
Female,38,Married,Senior,9,Marketing,Full-Time,1,1,0.9,4,1,8.2,Car,10,5,22,7,Bachelor,No,44.5,1,0,0,0,Healthy,0.22000000000000014
Female,38,Single,Mid,3,Marketing,Contract,3,5,2.0,5,3,5.1,Public Transport,14,5,14,0,Bachelor,No,31.5,1,0,0,0,Moderate,1.8800000000000001
Female,22,Single,Intern/Fresher,0,Sales,Full-Time,1,2,2.8,4,3,6.7,Bike,3,0,27,0,Bachelor,Yes,10.0,1,0,0,0,Moderate,0.6099999999999998
Male,22,Single,Junior,0,Legal,Contract,5,2,2.9,5,5,6.1,Public Transport,10,0,5,0,Bachelor,No,20.0,1,0,0,0,Moderate,1.36
Male,36,Married,Senior,11,Legal,Full-Time,1,5,3.1,5,3,5.7,Bike,8,4,15,8,Bachelor,No,45.5,1,0,0,0,Moderate,1.46
Male,35,Married,Mid,13,It,Contract,3,5,1.6,5,1,5.7,Public Transport,13,4,11,0,Bachelor,Yes,36.5,1,0,0,0,Moderate,1.6099999999999999
Male,25,Single,Junior,3,Marketing,Full-Time,1,1,2.8,5,2,7.2,Car,27,1,5,0,Bachelor,No,21.5,1,0,1,0,Healthy,1.43
Female,22,Single,Intern/Fresher,0,Marketing,Contract,2,5,1.9,4,3,5.8,Public Transport,13,0,24,0,Bachelor,No,10.0,1,0,0,0,Moderate,1.27
Female,24,Married,Junior,2,Marketing,Full-Time,4,1,3.0,3,4,6.6,Car,16,0,7,0,Bachelor,No,21.0,1,0,0,0,Moderate,0.74
Female,30,Married,Senior,8,Finance,Full-Time,2,1,0.0,2,1,5.6,Walk,2,2,24,2,Bachelor,No,44.0,1,0,0,0,Moderate,0.4200000000000001
Female,49,Single,Mid,25,Finance,Full-Time,4,2,1.4,4,1,5.2,Walk,2,9,11,0,Bachelor,Yes,42.5,1,0,0,0,Moderate,1.18
Male,33,Single,Senior,3,It,Part-Time,1,4,0.0,5,2,8.5,Public Transport,10,3,24,2,Bachelor,Yes,41.5,1,0,0,0,Healthy,0.39999999999999986
Male,38,Married,Mid,16,Finance,Full-Time,3,1,2.4,3,1,6.2,Walk,1,5,13,0,Bachelor,Yes,38.0,1,0,0,0,Moderate,0.44999999999999984
Male,25,Single,Junior,3,Legal,Contract,4,2,3.4,4,3,7.5,Car,24,1,5,0,Bachelor,Yes,21.5,1,0,1,0,Healthy,0.9199999999999999
Female,25,Single,Junior,3,Sales,Part-Time,1,3,3.5,4,1,6.7,Public Transport,28,1,9,0,Bachelor,No,21.5,1,0,1,0,Moderate,1.3599999999999999
Female,35,Divorced,Senior,13,Operations,Full-Time,4,1,0.8,2,4,5.4,Car,27,4,24,6,Bachelor,No,46.5,1,0,1,0,Moderate,1.25
Male,36,Single,Senior,14,Operations,Full-Time,5,1,1.7,3,4,6.2,Motorbike,3,4,17,4,Bachelor,No,47.0,1,0,0,0,Moderate,0.5099999999999998
Male,22,Single,Junior,0,It,Contract,1,4,3.4,4,1,6.9,Walk,1,0,5,0,Bachelor,Yes,20.0,1,0,0,0,Moderate,0.46999999999999975
Other,37,Single,Mid,10,Finance,Full-Time,4,1,2.3,5,2,6.7,Car,5,5,15,0,Bachelor,No,35.0,1,0,0,0,Moderate,0.9699999999999999
Female,27,Single,Junior,5,Finance,Full-Time,1,3,2.5,5,2,7.0,Car,18,1,8,0,Bachelor,No,22.5,1,0,0,0,Moderate,1.24
Male,39,Single,Mid,10,Finance,Full-Time,2,1,3.5,1,5,7.1,Car,13,5,13,0,Bachelor,No,35.0,1,0,0,0,Healthy,-0.1499999999999998
Female,26,Married,Junior,4,Finance,Contract,1,1,0.0,1,2,5.5,Motorbike,4,1,6,0,Bachelor,No,22.0,1,0,0,0,Moderate,0.21999999999999997
Female,25,Single,Junior,3,Finance,Full-Time,2,4,3.0,4,3,6.4,Public Transport,8,1,10,0,Bachelor,No,21.5,1,0,0,0,Moderate,0.8799999999999998
Female,25,Single,Junior,3,Marketing,Full-Time,1,2,0.7,3,4,6.9,Public Transport,5,1,10,0,Bachelor,No,21.5,1,0,0,0,Moderate,0.2899999999999997
Male,29,Single,Mid,7,It,Full-Time,5,4,3.8,5,3,6.4,Public Transport,14,2,13,0,Bachelor,Yes,33.5,1,0,0,0,Moderate,1.3599999999999999
Female,50,Divorced,Senior,15,Operations,Part-Time,1,2,3.3,5,1,6.6,Bike,10,9,18,7,Bachelor,No,47.5,1,0,0,0,Moderate,1.1600000000000001
Female,26,Single,Junior,4,Operations,Part-Time,1,2,1.0,5,1,8.8,Car,29,1,10,0,Bachelor,Yes,22.0,1,0,1,0,Healthy,0.8499999999999995
Male,25,Single,Junior,3,Operations,Part-Time,2,3,2.2,4,1,5.7,Public Transport,7,1,8,0,Bachelor,No,21.5,1,0,0,0,Moderate,1.13
Male,34,Married,Mid,12,It,Full-Time,2,3,2.2,4,2,8.0,Bike,10,4,15,0,Bachelor,Yes,36.0,1,0,0,0,Healthy,0.29999999999999977
Female,36,Married,Mid,8,Marketing,Full-Time,1,1,0.0,3,1,6.4,Bike,9,4,12,0,Bachelor,No,34.0,1,0,0,0,Moderate,0.6099999999999998
Male,23,Single,Junior,1,Finance,Part-Time,1,1,1.5,3,3,9.5,Public Transport,23,0,8,0,Bachelor,Yes,20.5,1,0,1,0,Healthy,-0.2100000000000002
Female,28,Single,Junior,2,Operations,Full-Time,5,5,1.1,1,1,5.9,Car,22,2,6,0,High School,No,21.0,5,0,1,0,Moderate,0.5999999999999999
Male,22,Single,Junior,0,Finance,Full-Time,4,3,1.6,1,1,9.1,Walk,1,0,9,0,High School,No,20.0,5,0,0,0,Healthy,-1.3099999999999998
Other,26,Single,Junior,4,Operations,Part-Time,3,5,1.3,2,1,7.4,Walk,1,1,10,0,High School,No,22.0,5,0,0,0,Healthy,-0.3300000000000002
Female,27,Single,Junior,5,Finance,Full-Time,5,4,2.0,2,1,7.7,Car,28,1,6,0,High School,No,22.5,5,0,1,0,Healthy,0.3599999999999999
Female,26,Single,Junior,4,Operations,Full-Time,5,4,2.2,2,1,7.1,Car,10,1,7,0,High School,No,22.0,5,0,0,0,Healthy,0.06000000000000011
Male,26,Single,Junior,4,Sales,Full-Time,2,5,2.1,1,1,7.8,Car,16,1,10,0,High School,No,22.0,5,0,0,0,Healthy,-0.33999999999999986
Male,22,Single,Junior,0,Sales,Full-Time,5,3,0.8,1,2,7.5,Bike,3,0,8,0,High School,No,20.0,5,0,0,0,Healthy,-0.61
Male,24,Single,Junior,2,Hr,Full-Time,3,5,0.2,2,1,7.9,Public Transport,8,0,9,0,High School,No,21.0,5,0,0,0,Healthy,-0.3200000000000002
Female,23,Single,Junior,1,Operations,Full-Time,5,5,3.4,1,1,6.6,Public Transport,5,0,5,0,High School,No,20.5,5,0,0,0,Moderate,-0.18999999999999992
Female,29,Single,Junior,7,Finance,Part-Time,5,5,1.7,1,3,6.4,Car,20,2,5,0,High School,No,23.5,5,0,1,0,Moderate,0.3399999999999998
Male,24,Single,Junior,2,Finance,Full-Time,4,5,2.2,1,3,9.1,Public Transport,22,0,7,0,High School,No,21.0,5,0,1,0,Healthy,-0.6799999999999998
Male,23,Single,Junior,1,It,Part-Time,5,5,1.1,2,1,8.1,Car,29,0,10,0,High School,Yes,20.5,5,0,1,0,Healthy,0.22999999999999998
Male,25,Single,Junior,3,Operations,Full-Time,3,4,2.2,1,1,7.4,Public Transport,19,1,7,0,High School,No,21.5,5,0,0,0,Healthy,-0.09000000000000019
Male,23,Single,Intern/Fresher,1,Operations,Full-Time,1,5,2.5,4,1,7.4,Walk,1,0,21,0,High School,No,10.5,5,0,0,0,Healthy,0.2699999999999998
Male,24,Single,Junior,2,Operations,Full-Time,2,3,2.2,2,1,5.8,Car,5,0,6,0,High School,No,21.0,5,0,0,0,Moderate,0.43000000000000005
Male,23,Single,Intern/Fresher,1,Finance,Full-Time,5,4,1.4,2,1,6.1,Public Transport,15,0,28,0,High School,Yes,10.5,5,0,0,0,Moderate,0.6100000000000001
Female,22,Single,Junior,0,Hr,Full-Time,1,2,3.9,1,1,6.6,Public Transport,8,0,7,0,High School,No,20.0,5,0,0,0,Moderate,-0.09999999999999992
Male,25,Single,Junior,3,It,Full-Time,5,1,1.6,3,2,7.0,Motorbike,12,1,10,0,High School,Yes,21.5,5,0,0,0,Moderate,0.45999999999999985
Other,23,Single,Junior,1,Finance,Full-Time,5,1,0.6,2,1,6.7,Public Transport,29,0,7,0,High School,No,20.5,5,0,1,0,Moderate,0.7899999999999998
Male,25,Married,Junior,3,Finance,Full-Time,4,2,3.7,3,3,7.7,Car,5,1,7,0,High School,No,21.5,5,0,0,0,Healthy,-0.030000000000000165
Male,22,Single,Intern/Fresher,0,It,Contract,1,4,1.6,3,2,5.5,Car,22,0,27,0,High School,Yes,10.0,5,0,1,0,Moderate,1.3599999999999999
Female,23,Single,Intern/Fresher,1,Legal,Full-Time,1,3,1.7,5,1,5.3,Public Transport,21,0,27,0,High School,No,10.5,5,0,1,0,Moderate,2.0100000000000002
Male,23,Single,Intern/Fresher,1,It,Full-Time,1,4,1.2,3,1,6.5,Public Transport,5,0,24,0,High School,Yes,10.5,5,0,0,0,Moderate,0.44999999999999984
Male,24,Single,Junior,2,Legal,Contract,2,2,1.0,4,5,7.4,Walk,2,0,6,0,High School,No,21.0,5,0,0,0,Healthy,0.29999999999999977
Female,23,Single,Intern/Fresher,1,It,Part-Time,1,3,1.1,2,1,5.3,Public Transport,8,0,20,0,High School,Yes,10.5,5,0,0,0,Moderate,0.72
Male,25,Married,Junior,3,It,Full-Time,5,1,1.9,5,2,6.1,Walk,1,1,8,0,High School,Yes,21.5,5,0,0,0,Moderate,1.09
Male,24,Married,Junior,2,It,Full-Time,4,1,2.8,4,1,7.4,Public Transport,25,0,7,0,High School,Yes,21.0,5,0,1,0,Healthy,0.9899999999999998
Female,25,Single,Junior,3,Customer Service,Full-Time,2,1,2.6,4,1,7.1,Car,29,1,6,0,High School,Yes,21.5,5,0,1,0,Healthy,1.23
Other,22,Single,Junior,0,Sales,Part-Time,5,4,2.4,1,1,6.3,Car,25,0,8,0,High School,No,20.0,4,0,1,0,Moderate,0.53
Male,22,Single,Intern/Fresher,0,Marketing,Full-Time,4,5,2.1,2,1,7.1,Car,7,0,24,0,High School,No,10.0,4,0,0,0,Healthy,-0.029999999999999888
Other,22,Single,Intern/Fresher,0,Finance,Full-Time,4,5,0.2,3,1,8.3,Bike,6,0,30,0,High School,No,10.0,4,0,0,0,Healthy,-0.24000000000000038
Male,24,Single,Junior,2,Finance,Part-Time,1,1,2.9,1,1,7.0,Car,12,0,5,0,High School,No,21.0,4,0,0,0,Moderate,-0.14
Male,28,Single,Junior,6,Marketing,Full-Time,4,4,2.5,4,1,5.1,Car,18,2,9,0,High School,Yes,23.0,4,0,0,0,Moderate,1.7000000000000002
Female,24,Married,Junior,1,Legal,Full-Time,3,3,2.0,5,1,6.4,Car,23,0,9,0,High School,No,20.5,4,0,1,0,Moderate,1.63
Male,22,Single,Intern/Fresher,0,It,Full-Time,3,5,2.9,4,2,6.2,Car,27,0,27,0,High School,Yes,10.0,5,0,1,0,Moderate,1.5299999999999998
Female,24,Single,Junior,2,Marketing,Full-Time,4,2,1.7,1,1,6.7,Public Transport,25,0,9,0,High School,No,21.0,5,0,1,0,Moderate,0.36999999999999983
Male,26,Single,Junior,4,Operations,Full-Time,5,1,1.2,4,1,6.6,Public Transport,22,1,8,0,High School,No,22.0,5,0,1,0,Moderate,1.2200000000000002
Male,27,Single,Junior,5,Finance,Full-Time,1,3,2.7,2,2,7.3,Car,20,1,10,0,High School,No,22.5,5,0,1,0,Healthy,0.28
Female,22,Single,Junior,0,It,Full-Time,2,4,0.0,4,4,8.7,Motorbike,17,0,7,0,High School,No,20.0,5,0,0,0,Healthy,0.2300000000000002
Male,23,Single,Junior,1,It,Full-Time,5,4,2.7,4,1,5.8,Car,18,0,9,0,High School,Yes,20.5,5,0,0,0,Moderate,1.42
Female,25,Single,Junior,3,Operations,Full-Time,4,1,1.0,5,1,8.8,Motorbike,15,1,7,0,High School,No,21.5,5,0,0,0,Healthy,0.4299999999999995
Male,24,Single,Junior,2,Finance,Full-Time,4,5,2.5,2,3,7.2,Car,6,0,8,0,High School,No,21.0,5,0,0,0,Healthy,-0.10000000000000014
Male,22,Single,Intern/Fresher,0,Finance,Part-Time,5,2,2.2,5,1,7.3,Walk,1,0,21,0,High School,No,10.0,5,0,0,0,Healthy,0.6100000000000001
Male,24,Single,Junior,1,It,Full-Time,3,3,0.9,1,1,7.5,Bike,9,0,9,0,High School,No,20.5,5,0,0,0,Healthy,-0.42999999999999994
Male,23,Single,Intern/Fresher,1,Operations,Contract,4,4,2.1,3,2,5.5,Bike,4,0,25,0,High School,No,10.5,5,0,0,0,Moderate,0.82
Male,23,Single,Intern/Fresher,1,Sales,Full-Time,1,5,1.3,3,2,5.4,Walk,2,0,21,0,High School,No,10.5,5,0,0,0,Moderate,0.7999999999999998
Male,22,Single,Intern/Fresher,0,It,Full-Time,4,4,1.2,1,2,6.0,Bike,4,0,20,0,High School,No,10.0,5,0,0,0,Moderate,0.019999999999999962
Female,24,Married,Junior,2,It,Full-Time,2,2,1.8,4,2,8.0,Bike,2,0,5,0,High School,No,21.0,4,0,0,0,Healthy,0.059999999999999776
Male,22,Single,Junior,0,Operations,Full-Time,5,5,3.7,3,1,5.9,Bike,10,0,9,0,High School,No,20.0,4,0,0,0,Moderate,0.8399999999999999
Female,23,Single,Junior,1,Finance,Contract,4,4,1.1,4,2,7.5,Public Transport,7,0,8,0,High School,No,20.5,4,0,0,0,Healthy,0.4099999999999999
Male,22,Single,Intern/Fresher,0,Marketing,Full-Time,3,4,0.3,1,2,6.2,Car,11,0,30,0,High School,No,10.0,4,0,0,0,Moderate,0.1499999999999999
Female,22,Single,Junior,0,Legal,Full-Time,3,2,2.0,1,3,8.6,Walk,1,0,8,0,High School,Yes,20.0,4,0,0,0,Healthy,-1.1099999999999999
Male,22,Single,Intern/Fresher,0,It,Full-Time,1,2,2.9,1,1,6.6,Public Transport,21,0,27,0,High School,No,10.0,4,0,1,0,Moderate,0.2900000000000001
Female,24,Married,Junior,2,Marketing,Contract,2,5,1.1,2,3,6.8,Car,24,0,9,0,High School,No,21.0,4,0,1,0,Moderate,0.6
Female,24,Single,Junior,2,Legal,Full-Time,1,5,1.2,4,1,7.3,Car,12,0,5,0,High School,No,21.0,4,0,0,0,Healthy,0.64
Male,22,Single,Intern/Fresher,0,It,Part-Time,4,2,0.6,3,1,6.2,Public Transport,11,0,30,0,High School,Yes,10.0,4,0,0,0,Moderate,0.7499999999999998
Male,22,Single,Intern/Fresher,0,Marketing,Full-Time,2,1,2.9,3,1,7.2,Public Transport,5,0,26,0,High School,No,10.0,4,0,0,0,Healthy,0.1699999999999998
Other,24,Single,Junior,2,Customer Service,Part-Time,1,2,1.8,2,1,7.6,Bike,1,0,9,0,High School,No,21.0,4,0,0,0,Healthy,-0.4099999999999998
Male,23,Single,Intern/Fresher,1,It,Full-Time,2,4,4.2,4,1,5.6,Car,28,0,25,0,High School,No,10.5,4,0,1,0,Moderate,1.8
Female,22,Single,Intern/Fresher,0,Operations,Full-Time,5,2,2.9,3,2,6.8,Car,14,0,22,0,High School,Yes,10.0,4,0,0,0,Moderate,0.5999999999999999
Male,26,Single,Junior,4,It,Full-Time,5,5,0.7,3,1,6.6,Public Transport,10,1,9,0,High School,Yes,22.0,4,0,0,0,Moderate,0.56
Male,26,Married,Junior,4,It,Full-Time,2,3,1.0,1,3,8.1,Public Transport,8,1,9,0,High School,No,22.0,4,0,0,0,Healthy,-0.7
Female,24,Single,Junior,2,Marketing,Full-Time,2,1,4.0,1,1,6.5,Public Transport,28,0,7,0,High School,No,21.0,4,0,1,0,Moderate,0.5399999999999998
Male,23,Single,Junior,1,It,Full-Time,4,4,2.8,4,1,6.7,Car,14,0,9,0,High School,Yes,20.5,4,0,0,0,Moderate,0.9399999999999997
Male,28,Single,Junior,6,Finance,Part-Time,5,1,1.9,1,1,7.8,Car,6,2,9,0,High School,No,23.0,4,0,0,0,Healthy,-0.6399999999999999
Male,23,Single,Intern/Fresher,1,Operations,Full-Time,2,1,1.1,2,2,7.4,Walk,1,0,29,0,High School,No,10.5,4,0,0,0,Healthy,-0.3300000000000002
Male,24,Single,Junior,2,Finance,Full-Time,3,5,2.8,4,1,6.6,Motorbike,8,0,8,0,High School,No,21.0,4,0,0,0,Moderate,0.8
Male,28,Single,Junior,4,It,Contract,3,3,2.7,3,1,6.7,Public Transport,22,2,8,0,High School,Yes,22.0,4,0,1,0,Moderate,0.8799999999999998
Male,24,Single,Junior,2,Legal,Full-Time,5,1,2.0,1,4,6.7,Public Transport,16,0,7,0,High School,No,21.0,4,0,0,0,Moderate,0.09999999999999981
Female,24,Single,Junior,2,Finance,Full-Time,1,2,1.8,4,1,8.4,Car,16,0,6,0,High School,No,21.0,4,0,0,0,Healthy,0.3199999999999996
Male,22,Single,Intern/Fresher,0,It,Full-Time,3,4,2.7,2,2,7.0,Car,19,0,25,0,High School,Yes,10.0,4,0,0,0,Moderate,0.3699999999999999
